timestamp,id,p1_action,gt_p1_action,p2_action,gt_p2_action,response_time,is_p1_action_correct,is_p2_action_correct
1678855827.2819076,4101,shoot,shield,none,none,0.023659229278564453,False,True
1678855887.313476,4101,None,None,None,None,60.00164246559143,True,True
1678855947.1289117,806,shoot,grenade,none,none,0.015620946884155273,False,True
1678855992.4619195,4811,shoot,shoot,none,none,5.471857786178589,True,True
1678856052.486464,4811,None,None,None,None,60.00153088569641,True,True
1678856171.415242,2693,shoot,shield,none,none,2.6867430210113525,False,True
1678856171.4413066,2693,shoot,shoot,none,none,0.003296375274658203,True,True
1678856292.1905777,7978,shoot,shoot,none,none,11.14072847366333,True,True
1678856317.162738,7978,invalid,reload,none,none,24.948410511016846,False,True
1678856377.181728,7978,None,None,None,None,60.00153613090515,True,True
1678856413.2081838,7978,shield,shield,none,none,36.01007127761841,True,True
1678856451.780663,7978,shoot,shoot,none,none,38.55457592010498,True,True
1678856511.7996883,7978,None,None,None,None,60.00142741203308,True,True
1678856571.8174562,7978,None,None,None,None,60.00139141082764,True,True
1678856630.259157,7978,shield,shield,none,none,58.423049211502075,True,True
1678856690.2793145,7978,None,None,None,None,60.0013473033905,True,True
1678856750.2969348,7978,None,None,None,None,60.00137281417847,True,True
1678856810.3151429,7978,None,None,None,None,60.001962184906006,True,True
1678856870.3329442,7978,None,None,None,None,60.00141644477844,True,True
1678857051.6884637,3154,shoot,shoot,none,none,4.352410793304443,True,True
1678857074.065175,3154,reload,reload,none,none,20.91333770751953,True,True
1678857089.8278558,3154,shield,shield,none,none,15.745179891586304,True,True
1678857117.1994586,3154,reload,reload,none,none,27.35394859313965,True,True
1678857126.98504,3154,shield,shield,none,none,9.768453598022461,True,True
1678857143.7603335,3154,shoot,shoot,none,none,16.75831913948059,True,True
1678857203.779273,3154,None,None,None,None,60.00192880630493,True,True
1678857263.7970264,3154,None,None,None,None,60.00143241882324,True,True
1678857351.8158953,9964,shield,shield,none,none,3.535902500152588,True,True
1678857357.5055542,9964,reload,reload,none,none,5.664686679840088,True,True
1678857417.5256977,9964,None,None,None,None,60.002965688705444,True,True
1678857477.5435953,9964,None,None,None,None,60.00152063369751,True,True
1678857537.5614967,9964,None,None,None,None,60.00145745277405,True,True
1678857597.5857787,9964,None,None,None,None,60.00141620635986,True,True
1678857657.6039531,9964,None,None,None,None,60.00136065483093,True,True
1678857717.6215093,9964,None,None,None,None,60.00134348869324,True,True
1678857840.58782,4116,shoot,shoot,none,none,5.454570531845093,True,True
1678857845.368345,4116,shield,shield,none,none,4.757667303085327,True,True
1678857850.0294285,4116,shoot,shoot,none,none,4.643982410430908,True,True
1678857855.5327542,4116,reload,reload,none,none,5.486053705215454,True,True
1678859133.746245,9056,reload,reload,none,none,13.994959115982056,True,True
1678859193.7713337,9056,None,None,None,None,60.00217008590698,True,True
1678859253.7899804,9056,None,None,None,None,60.001405239105225,True,True
1678859313.8117793,9056,None,None,None,None,60.00311732292175,True,True
1678859373.8345215,9056,None,None,None,None,60.00130605697632,True,True
1678859433.854327,9056,None,None,None,None,60.00131940841675,True,True
1678859507.3118951,7129,reload,reload,none,none,5.878181219100952,True,True
1678859512.3478765,7129,None,grenade,none,none,5.008898019790649,False,True
1678859534.9780304,7129,shoot,shoot,none,none,22.606231927871704,True,True
1678859539.1992238,7129,None,grenade,none,none,4.200200080871582,False,True
1678859553.8343494,7129,shoot,shoot,none,none,14.615276098251343,True,True
1678859613.8631256,7129,None,None,None,None,60.002809047698975,True,True
1678859673.8823109,7129,None,None,None,None,60.00208067893982,True,True
1678859733.90038,7129,None,None,None,None,60.001364946365356,True,True
1678859793.9186227,7129,None,None,None,None,60.0013632774353,True,True
1678859853.9366612,7129,None,None,None,None,60.00134754180908,True,True
1678859913.955759,7129,None,None,None,None,60.00254034996033,True,True
1678859973.9737217,7129,None,None,None,None,60.00136041641235,True,True
1678860033.9926891,7129,None,None,None,None,60.00212073326111,True,True
1678860094.0108106,7129,None,None,None,None,60.00136113166809,True,True
1678860154.0292144,7129,None,None,None,None,60.001726150512695,True,True
1678861099.3620007,4927,None,None,None,None,60.0017294883728,True,True
1678861120.2253878,4927,shoot,shoot,none,none,20.84134793281555,True,True
